Year,Month,Carbon_Intensity,CFE
2022,12,360.52,35.838319892473116
2022,3,347.3590725806451,35.82221774193547
2021,11,346.7285138888889,33.07668055555556
2022,10,335.7847446236559,39.16716397849462
2022,2,330.4898958333335,38.98059523809524
2024,5,158.24088709677417,68.98973118279572
2024,4,170.67088888888892,66.2539583333333
2024,6,171.9787916666667,65.48779166666664
2024,3,192.8538709677421,60.919556451612934
2024,7,200.59599462365583,57.93909946236561
2024,5,158.24088709677417,68.98973118279571
2024,4,170.67088888888895,66.2539583333333
2024,6,171.9787916666667,65.48779166666664
2024,3,192.8538709677421,60.919556451612934
2023,5,203.49448924731183,59.87700268817207
2021,11,346.7285138888889,33.07668055555556
2022,3,347.3590725806451,35.82221774193547
2022,12,360.52,35.83831989247311
2022,1,326.94787634408607,36.60368279569894
2021,12,329.303508064516,37.86881720430106
