Year,Month,Carbon_Intensity,CFE
2022,12,360.5200000000001,35.838319892473116
2022,3,347.3590725806452,35.82221774193549
2021,11,346.72851388888887,33.076680555555555
2022,10,335.7847446236559,39.16716397849462
2022,2,330.4898958333334,38.98059523809523
2024,5,158.24088709677414,68.9897311827957
2024,4,170.67088888888884,66.25395833333332
2024,6,171.97879166666672,65.48779166666667
2024,3,192.85387096774198,60.919556451612905
2024,7,200.59599462365588,57.93909946236558
2024,5,158.24088709677414,68.98973118279568
2024,4,170.67088888888887,66.25395833333333
2024,6,171.9787916666667,65.48779166666668
2024,3,192.85387096774198,60.9195564516129
2023,5,203.49448924731186,59.87700268817205
2021,11,346.72851388888887,33.076680555555555
2022,3,347.3590725806452,35.82221774193549
2022,12,360.5200000000001,35.838319892473116
2022,1,326.947876344086,36.60368279569892
2021,12,329.3035080645161,37.86881720430107
